original_ADDRESS,original_STREET NUMBER FROM,original_STREET NUMBER TO,original_DIRECTION,original_STREET NAME,original_STREET TYPE,original_TANK TYPE,original_FACILITY ID,original_OWNER,original_FACILITY NAME,original_Tank ID,original_TANK MATERIAL,original_TANK CONSTRUCTION,original_TANK PRODUCT,original_TANK CAPACITY,original_INSTALLATION DATE,original_REMOVAL DATE,original_LAST USED DATE,original_COMMENT,original_DATA SOURCE,original_LATITUDE,original_LONGITUDE,original_LOCATION,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county_code,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
10701 S HALSTED ST,10701,10701,S,HALSTED,ST,UNDERGROUND STORAGE TANK,10701HA1960-03-18,,B. HENDERSON,,,,,,03/18/1960,,,WORK BY: STANDARD OIL; REPLACE 1-1K W/2-3K GSLN                      FINAL  4/14/60,HISTORIC DEPT. OF BUILDINGS,41.69955202015436,-87.64245904521225,POINT (-87.64245904521225 41.69955202015436),2.2289167901520024,"Axis Communications, South Halsted Street, Chicago, IL 60643, United States of America",41.6995327,-87.6424662,Axis Communications,,South Halsted Street,60643,,Roseland,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2300 N WESTERN AVE,2300,2320,N,WESTERN,AVE,UNDERGROUND STORAGE TANK,2300WES1959-09-08,,NORTHWESTERN SAVINGS & LOAN,,,,,,09/08/1959,,,WORK BY: CHICAGO REFRIGIRATION; INSTALL 1-6K GAL FUEL OIL TANK             FINAL  N/G,HISTORIC DEPT. OF BUILDINGS,41.923335003623606,-87.6877427986446,POINT (-87.6877427986446 41.923335003623606),20.24328983170555,"Sazon Cubano, 2252 North Western Avenue, Chicago, IL 60647, United States of America",41.9231722,-87.6878523,Sazon Cubano,2252,North Western Avenue,60647,Maplewood,Logan Square,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1320 W FULLERTON AVE,1320,1320,W,FULLERTON,AVE,UNDERGROUND STORAGE TANK,2035540,See Environmental Permit Dataset,BUILDING,0001,,,FUEL OIL,10000,,,,"ABANDONED  3/11/1997,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 102875; ]",DEPT. OF PUBLIC HEALTH,41.925357358100776,-87.66138854381815,POINT (-87.66138854381815 41.925357358100776),0.7452781136188619,"Lake Shore Sport & Fitness, 1335 West Altgeld Street, Chicago, IL 60614, United States of America",41.926156899999995,-87.66164191187673,Lake Shore Sport & Fitness,1335,West Altgeld Street,60614,Wrightwood Neighbors,Lake View Township,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1334 W 74TH ST,1334,1334,W,74TH,ST,UNDERGROUND STORAGE TANK,1334W741980-10-27,,CITY OF CHICAGO,,,,,,10/27/1980,,,WORK BY: G. M. WRECKING; REMOVE 1-3K & 1-4K GAL GSLN TANK  1-500 W.O.  FINAL 11/27/81,HISTORIC DEPT. OF BUILDINGS,41.759635722196975,-87.65866624403586,POINT (-87.65866624403586 41.759635722196975),18.4028994059409,"1332 West 74th Street, Chicago, IL 60636, United States of America",41.759799,-87.65863,,1332,West 74th Street,60636,Chicago,Englewood,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1460 W HUBBARD ST,1460,1460,W,HUBBARD,ST,UNDERGROUND STORAGE TANK,2042567,See Environmental Permit Dataset,PARKING LOT,0001,,,GASOLINE,1500,,,12/31/1973,"1465 W HUBBARD, REMOVED 11/18/04,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 108211     108211; ]",DEPT. OF PUBLIC HEALTH,41.89002750733389,-87.66465311909327,POINT (-87.66465311909327 41.89002750733389),24.14144953549995,"1458 West Hubbard Street, Chicago, IL 60642, United States of America",41.890233,-87.664559,,1458,West Hubbard Street,60642,Chicago,West Town,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
10 S CANAL ST,10,10,S,CANAL,ST,UNDERGROUND STORAGE TANK,2018702,See Environmental Permit Dataset,AT & T COMMUNICATIONS,0003,,,DIESEL,50000,,,," ",DEPT. OF PUBLIC HEALTH,41.88158163053039,-87.63982438938861,POINT (-87.63982438938861 41.88158163053039),3.4241111548697156,"AT&T, 10 South Canal Street, Chicago, IL 60606, United States of America",41.88154865,-87.6402045878966,AT&T,10,South Canal Street,60606,West Loop Gate,Near West Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1701 E 122ND ST,1701,1701,E,122ND,ST,UNDERGROUND STORAGE TANK,2023962,See Environmental Permit Dataset,SPRAYLOT CORPORATION,0010,,,CHEMICAL,6000,,,,"1701 E 122ND ST, REMOVED 04/12/96,  Historic data from former Dept. of Environment [ Tank Leak Protection: Interstitial Monitoring/ TLS-300; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: Dielectric Coating/Composite tanks; Tank Overfill Protection: Alarm and/or Shutoff; Piping Type: Suction Piping; Piping Leak Protection: European (safe) suction; Piping Corrosion Protection: All piping above ground; Piping Wall: Single; Pipe Material: Steel/Above ground; ]",DEPT. OF PUBLIC HEALTH,41.673517105799256,-87.57845153438663,POINT (-87.57845153438663 41.673517105799256),3.0909643834754985,"1601 East 122nd Street, Chicago, IL 60633, United States of America",41.673543,-87.578438,,1601,East 122nd Street,60633,,South Deering,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1656 W VAN BUREN ST,1656,1658,W,VAN BUREN,ST,UNDERGROUND STORAGE TANK,1656VAN1995-03-13,,CLARK OIL,,,,,,03/13/1995,,,WORK BY: N/G; SEE 329-39 SO. PAULINA,HISTORIC DEPT. OF BUILDINGS,41.876428280705035,-87.66901359391335,POINT (-87.66901359391335 41.876428280705035),1.8573703796916199,"1656 West Van Buren Street, Chicago, IL 60607, United States of America",41.8767641,-87.668842690822,,1656,West Van Buren Street,60607,,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2278 N ELSTON AVE,2278,2278,N,ELSTON,AVE,UNDERGROUND STORAGE TANK,2278ELS1957-05-28,,SUPERIOR COFFEE COMPANY,,,,,,05/28/1957,,,WORK BY: STANDARD OIL; INSTALL 1-500 GAL GASLN                 FINAL  10/22/58,HISTORIC DEPT. OF BUILDINGS,41.92289735980869,-87.67456734527957,POINT (-87.67456734527957 41.92289735980869),23.893459345489177,"2260-2266 North Elston Avenue, Chicago, IL 60622, United States of America",41.922625350000004,-87.67425032655962,,2260-2266,North Elston Avenue,60622,Bucktown,Logan Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10406 S WESTERN AVE,10406,10410,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,10406WE1952-08-29,,MARTIN HOLM,,,,,,08/29/1952,,,WORK BY: P. HARRISON; INSTALL 3-550 GAL FUEL OIL TANKS          FINAL  1/13/53,HISTORIC DEPT. OF BUILDINGS,41.70429072044738,-87.6817031229097,POINT (-87.6817031229097 41.70429072044738),2.767425425720707,"10404-10412 South Western Avenue, Chicago, IL 60655, United States of America",41.7041938,-87.68182540000001,,10404-10412,South Western Avenue,60655,,Beverly,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2149 E 75TH ST,2149,2149,E,75TH,ST,UNDERGROUND STORAGE TANK,2.15E+781969-10-20,,LA FRANCE LAUNDRY,,,,,,10/20/1969,,,WORK BY: KENNEY TANK; INSTALL 1-3K GAL FUEL OIL UST             FINAL  11/6/69,HISTORIC DEPT. OF BUILDINGS,41.75881799518624,-87.57177321099392,POINT (-87.57177321099392 41.75881799518624),6.4788677518259234,"2151 East 75th Street, Chicago, IL 60649, United States of America",41.758774,-87.571722,,2151,East 75th Street,60649,Chicago,South Shore,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
2244 N ELSTON AVE,2244,2244,N,ELSTON,AVE,UNDERGROUND STORAGE TANK,2244ELS1948-05-25,,J. F. WASHBURN & COMPANY,,,,,,05/25/1948,,,WORK BY: C. J. BRUCE; REPLACE 1-2K (SANDFILL) W/SAME NAPTHA   FINAL  10/5/48,HISTORIC DEPT. OF BUILDINGS,41.922267924329354,-87.67366237764857,POINT (-87.67366237764857 41.922267924329354),15.357135121905731,"2230-2234 North Elston Avenue, Chicago, IL 60622, United States of America",41.92203055,-87.67376762830003,,2230-2234,North Elston Avenue,60622,Bucktown,Logan Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1105 W MONROE ST,1105,1105,W,MONROE,ST,UNDERGROUND STORAGE TANK,1105MON1965-11-08,,CHECKER TAXI COMPANY,,,,,,11/08/1965,,,WORK BY: ROBERT YOUNG INC.; INSPECT 1-1K MOTOR OIL & 1-1K WASTE OIL,HISTORIC DEPT. OF BUILDINGS,41.88025417292492,-87.65492952921636,POINT (-87.65492952921636 41.88025417292492),0,"1101 West Monroe Street, Chicago, IL 60607, United States of America",41.8801412,-87.65486607632216,,1101,West Monroe Street,60607,,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2 S WACKER DR,2,,S,WACKER,DR,UNDERGROUND STORAGE TANK,2SWACKE1986-06-27,,JMB METRO STRUCTURES,,,,,,06/27/1986,,,WORK BY: ADVANCE MECHANICAL SYSTEMS; INSPECT 1-275G EMERGENCY GENERATOR,HISTORIC DEPT. OF BUILDINGS,41.881848080613665,-87.63716538806663,POINT (-87.63716538806663 41.881848080613665),26.484021152973504,"10 South Lower Wacker Service Drive, Chicago, IL 60606, United States of America",41.8816195,-87.6370755,,10,South Lower Wacker Service Drive,60606,Printer's Row,Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1620 W KINZIE ST,1620,1634,W,KINZIE,ST,UNDERGROUND STORAGE TANK,1620KIN1956-05-28,,E. G. PROPERTY ASSOCIATION,,,,,,05/28/1956,,,WORK BY: OWNER; INSTALL 1-1K GAL FUEL OIL TANK            FINAL  3/6/57,HISTORIC DEPT. OF BUILDINGS,41.888961468592406,-87.66796892972813,POINT (-87.66796892972813 41.888961468592406),2.306823176048154,"400 North Ashland Avenue, Chicago, IL 60622, United States of America",41.8890655,-87.66760895546892,,400,North Ashland Avenue,60622,Chicago,West Town,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
216 W HILL ST,216,216,W,HILL,ST,UNDERGROUND STORAGE TANK,216WEHI1952-10-14,,UNITED PARCEL SERVICE,,,,,,10/14/1952,,,"WORK BY: MOSBECK OIL EQUIPMENT; RPL 1-1500 F.O., FINAL 1/28/53",HISTORIC DEPT. OF BUILDINGS,41.902203483371615,-87.63515261556704,POINT (-87.63515261556704 41.902203483371615),0.1193455793622892,"Old Town Park II, 202 West Hill Street, Chicago, IL 60610, United States of America",41.9024965,-87.63513670194087,Old Town Park II,202,West Hill Street,60610,River North,Near North Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10408 S INDIANAPOLIS AVE,10408,10408,S,INDIANAPOLIS,AVE,UNDERGROUND STORAGE TANK,2017658,See Environmental Permit Dataset,MARTIN OIL,0012,,,GASOLINE,2000,,,," ",DEPT. OF PUBLIC HEALTH,41.706078524161065,-87.52820896029382,POINT (-87.52820896029382 41.706078524161065),2.430857416931095,"Edward Sadlowski Elementary School, 3930 East 105th Street, Chicago, IL 60617, United States of America",41.705751750000005,-87.5281342448208,Edward Sadlowski Elementary School,3930,East 105th Street,60617,,East Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1311 N WICKER PARK AVE,1311,1311,N,WICKER PARK,AVE,UNDERGROUND STORAGE TANK,2045376,See Environmental Permit Dataset,Commercial Building,1,STEEL,,HEATING OI,"1,000",,06/04/2013,,"REMOVED 1,000 GAL H.O TANK (PERMITTED SIZE 500 GAL)",DEPT. OF PUBLIC HEALTH,41.90613281637526,-87.6724049460545,POINT (-87.6724049460545 41.90613281637526),0,"1311 North Wicker Park Avenue, Chicago, IL 60622, United States of America",41.9062058,-87.67233282483909,,1311,North Wicker Park Avenue,60622,East Village,West Town,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1709 W ESTES AVE,1709,1709,W,ESTES,AVE,UNDERGROUND STORAGE TANK,1709EST1959-05-27,,HARRY TOPOKET,,,,,,05/27/1959,,,"WORK BY: HOME HEATING; INSTALL 1-2.5K FUEL OIL,  FINAL NOT GIVEN",HISTORIC DEPT. OF BUILDINGS,42.01133584985974,-87.67274384676618,POINT (-87.67274384676618 42.01133584985974),3.115138377644995,"7064-7070 North Paulina Street, Chicago, IL 60626, United States of America",42.01109545,-87.67252481350215,,7064-7070,North Paulina Street,60626,Jarvis Square,Rogers Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
230 W DIVISION ST,230,230,W,DIVISION,ST,UNDERGROUND STORAGE TANK,0230DIV1989-10-19,,WELLS FARGO,,,,,,10/19/1989,,,WORK BY: SHEFFIELD TANK; REMOVE 1-10K GAL GASLN TANK            FINAL  11/20/89,HISTORIC DEPT. OF BUILDINGS,41.903943704629484,-87.63582875319369,POINT (-87.63582875319369 41.903943704629484),0,"The Venetian, 230 West Division Street, Chicago, IL 60610, United States of America",41.90409725,-87.63574292684453,The Venetian,230,West Division Street,60610,River North,Near North Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10201 S STONY ISLAND AVE,10201,10201,S,STONY ISLAND,AVE,UNDERGROUND STORAGE TANK,10201ST1984-08-14,,CHICAGO TRANSIT AUTHORITY,,,,,,08/14/1984,,,WORK BY: R. L. DESPAIN; INSTALL 2-4K WASTE OIL FIBERGLASS TANKS,HISTORIC DEPT. OF BUILDINGS,41.709326945625214,-87.58481919733582,POINT (-87.58481919733582 41.709326945625214),228.9238791572136,"Chicago Transit Authority 103rd Street Garage, 1702 East 103rd Street, Chicago, IL 60617, United States of America",41.709002,-87.582096,Chicago Transit Authority 103rd Street Garage,1702,East 103rd Street,60617,Chicago,Lake Calumet Industrial District,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1151 S INDEPENDENCE ",1151,1151,S,INDEPENDENCE,,UNDERGROUND STORAGE TANK,1151IND1981-10-09,,CHURCH'S FRIED CHICKEN,,,,,,10/09/1981,,,WORK BY: R. CARLSON & SONS; REMOVE 1-550 GAL WASTE OIL TANK            FINAL  11/10/81,HISTORIC DEPT. OF BUILDINGS,41.866516631905256,-87.71938879163898,POINT (-87.71938879163898 41.866516631905256),30.168487591882073,"1151 South Independence Boulevard, Chicago, IL 60624, United States of America",41.866575,-87.719033,,1151,South Independence Boulevard,60624,Chicago,Homan Square,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1840 N CLYBOURN AVE,1840,,N,CLYBOURN,AVE,ABOVEGROUND STORAGE TANK,1840NCLYBOU,THE ARGENT GROUP,FORMER ARTMARK BUILDING,,,,,"NO. OF TANKS:  (6-1,500 GALLONS)",,,,DATE OF REPORT: 01/22/2001 THE TANKS WERE LARGER THAN INDICATED ON THE PERMIT. EACH TANK WAS LOCATED IN THE BASEMENT AREA OF THE PROPERTY. THE TANKS WERE CUT OPEN AND THE INTERIORS WERE CLEANED WHEN THE ATMOSPHERES WERE SAFE TO DO SO. NO CONTAMINATION FOUND.,HISTORIC DEPT.OF ENVIRONMENT,41.91442371409043,-87.65462784303007,POINT (-87.65462784303007 41.91442371409043),0.8674340705397388,"1834-1854 North Clybourn Avenue, Chicago, IL 60614, United States of America",41.91413785,-87.6547047932465,,1834-1854,North Clybourn Avenue,60614,Ranch Triangle,Lincoln Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1807 W GRANVILLE AVE,1807,1807,W,GRANVILLE,AVE,UNDERGROUND STORAGE TANK,1807GRA1949-07-12,,STANDARD OIL,,,,,,07/12/1949,,,WORK BY: ROBERT YOUNG INC.; REPLACE 2-2K GAL GASLN TKS              FINAL  8/1/49,HISTORIC DEPT. OF BUILDINGS,41.994235394589126,-87.67547383573033,POINT (-87.67547383573033 41.994235394589126),0.8744605911324487,"1807 West Granville Avenue, Chicago, IL 60660, United States of America",41.994184149999995,-87.67552503432039,,1807,West Granville Avenue,60660,Chicago,West Ridge,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
225 W CHESTNUT ST,225,225,W,CHESTNUT,ST,UNDERGROUND STORAGE TANK,225CHES,See Environmental Permit Dataset,AMERICAN LINEN,0006,,,,10000,,,," ",DEPT. OF PUBLIC HEALTH,41.89807844612176,-87.635332420576,POINT (-87.635332420576 41.89807844612176),0,"Parc Chestnut, 214-216 West Institute Place, Chicago, IL 60610, United States of America",41.89780075,-87.63524259909134,Parc Chestnut,214-216,West Institute Place,60610,River North,Near North Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1050 N NORTH BRANCH ST,1050,1050,N,NORTH BRANCH,ST,UNDERGROUND STORAGE TANK,2039272,See Environmental Permit Dataset,FORMER VULCAN MATERIALS-GOOSE ISLAN,0001,,,UNKNOWN,,,,," ",DEPT. OF PUBLIC HEALTH,41.90113101570498,-87.65230716490309,POINT (-87.65230716490309 41.90113101570498),52.90293395418633,"SA & J Electronics, 1000-1022 North North Branch Street, Chicago, IL 60642, United States of America",41.9005328,-87.65178500227773,SA & J Electronics,1000-1022,North North Branch Street,60642,River North,Near North Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10000 W OHARE ST,10000,10000,W,OHARE,ST,UNDERGROUND STORAGE TANK,2024076,See Environmental Permit Dataset,O'HARE AIRPORT/AMC COMPLEX BLD,0043,,,GASOLINE-A,7000,,,,"AMC BLDG W O'HARE STREET, REMOVED 6/17/96,  Historic data from former Dept. of Environment [ Tank Leak Protection: Automatic Gauging; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: FRP; Tank Overfill Protection: Drop Tube Valve; Piping Type: Suction Piping; Piping Leak Protection: Line test every three years; Piping Corrosion Protection: Secondary containment; Piping Wall: Double; Pipe Material: Steel; Associated Permit Numbers: 1023333; ]",DEPT. OF PUBLIC HEALTH,41.97620113902387,-87.90530912510346,POINT (-87.90530912510346 41.97620113902387),0,"O'Hare International Airport, 10000 Baggage Road, Chicago, IL 60666, United States of America",41.9782523,-87.90923552598412,O'Hare International Airport,10000,Baggage Road,60666,,O'Hare,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1230 E 92ND ST,1230,1230,E,92ND,ST,UNDERGROUND STORAGE TANK,2010414,See Environmental Permit Dataset,NAYLOR PIPE COMPANY,0003,,,HEATING OI,12000,,,01/01/1988," ",DEPT. OF PUBLIC HEALTH,41.72779592270078,-87.59376846742875,POINT (-87.59376846742875 41.72779592270078),9.786136915734062,"9154 South Avalon Avenue, Chicago, IL 60619, United States of America",41.7278793,-87.59396805835414,,9154,South Avalon Avenue,60619,Chicago,Burnside,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10000 W OHARE ST,10000,10000,W,OHARE,ST,UNDERGROUND STORAGE TANK,2007484,See Environmental Permit Dataset,ORD FUELING SYS/CONTROL ROOM BLD 79,0038,,,GLY-W FUEL,50000,,,,"NWFUELING W O'HARE STREET, REMOVED 2/10/99,  Historic data from former Dept. of Environment [ Tank Leak Protection: Groundwater Monitoring; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: Dielectric Coating; Tank Overfill Protection: Alarm and/or Shutoff; Piping Type: Pressurized Piping; Piping Leak Protection: Vapor Monitoring; Piping Corrosion Protection: Impressed Current; Piping Wall: Single; Pipe Material: Steel; ]",DEPT. OF PUBLIC HEALTH,41.97620113902387,-87.90530912510346,POINT (-87.90530912510346 41.97620113902387),0,"O'Hare International Airport, 10000 Baggage Road, Chicago, IL 60666, United States of America",41.9782523,-87.90923552598412,O'Hare International Airport,10000,Baggage Road,60666,,O'Hare,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1528 S WABASH AVE,1528,1528,S,WABASH,AVE,UNDERGROUND STORAGE TANK,2038952,See Environmental Permit Dataset,VACANT PROPERTY(THIRD PARTY REMOVAL,0002,,,FUEL OIL,10000,,,," ",DEPT. OF PUBLIC HEALTH,41.86110968425692,-87.6258293347433,POINT (-87.6258293347433 41.86110968425692),9.874665870919634,"1526-1536 South Wabash Avenue, Chicago, IL 60605, United States of America",41.86094715,-87.6261701829179,,1526-1536,South Wabash Avenue,60605,South Loop,Near South Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2001 W 95TH ST,2001,2007,W,95TH,ST,UNDERGROUND STORAGE TANK,2001W951964-05-12,,HARK DEVELOPERS,,,,,,05/12/1964,,,WORK BY: KEZ CONSTRUCTION; REMOVE ALL TANKS 1-2K 1-3K GAS,HISTORIC DEPT. OF BUILDINGS,41.72096820691147,-87.6723811826961,POINT (-87.6723811826961 41.72096820691147),27.911781737339034,"1955 West 95th Street, Chicago, IL 60643, United States of America",41.720798,-87.672134,,1955,West 95th Street,60643,Chicago,Beverly,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1104 N KEDZIE AVE,1104,1104,N,KEDZIE,AVE,UNDERGROUND STORAGE TANK,2044671,See Environmental Permit Dataset,FORMER HELIX BUILDING,0003,STEEL,,HEATING OI,550,,,12/31/1973,"11040-44 S KEDZIE, TO BE REMOVED,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 110506 110199    110506; ]",DEPT. OF PUBLIC HEALTH,41.90117640303522,-87.70688356388162,POINT (-87.70688356388162 41.90117640303522),18.74735031692281,"1106-1116 North Kedzie Avenue, Chicago, IL 60647, United States of America",41.90148635,-87.70793678154989,,1106-1116,North Kedzie Avenue,60647,,Humboldt Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
111 W JACKSON BLVD,111,111,W,JACKSON,BLVD,UNDERGROUND STORAGE TANK,111JACK1992-07-24,,P & S LIMITED PARTNERSHIP,,,,,,07/24/1992,,,WORK BY: ENVIRONMENTAL; REMOVE 2-2K GAL FUEL OIL TANKS               FINAL  N/G,HISTORIC DEPT. OF BUILDINGS,41.87803442833617,-87.63117140697915,POINT (-87.63117140697915 41.87803442833617),2.0613112583903406,"TransUnion Building, 111 West Jackson Boulevard, Chicago, IL 60604, United States of America",41.877854049999996,-87.63131414246857,TransUnion Building,111,West Jackson Boulevard,60604,Printer's Row,Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2048 W MARQUETTE RD,2048,2048,W,MARQUETTE,RD,UNDERGROUND STORAGE TANK,2048MAR1976-02-05,,CITY OF CHICAGO,,,,,,02/05/1976,,,WORK BY: H.M. BOLES & SONS; GLASS ARMOR 1-3K GAS,HISTORIC DEPT. OF BUILDINGS,41.772163041891964,-87.67566966257831,POINT (-87.67566966257831 41.772163041891964),13.773799739239687,"6657 South Hoyne Avenue, Chicago, IL 60636, United States of America",41.772223,-87.675815,,6657,South Hoyne Avenue,60636,Chicago,West Englewood,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
10611 S WESTERN AVE,10611,10629,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,10611WE1953-06-08,,,,,,,,06/08/1953,,,WORK BY: GODFREY HEATING; INSTALL 1-2K GAL FUEL OIL TANK             FINAL  9/28/54,HISTORIC DEPT. OF BUILDINGS,41.70053426289783,-87.68128844693135,POINT (-87.68128844693135 41.70053426289783),21.16553409097056,"10611 South Western Avenue, Chicago, IL 60643, United States of America",41.700471,-87.681048,,10611,South Western Avenue,60643,Chicago,Beverly,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1200 W 79TH ST,1200,1200,W,79TH,ST,UNDERGROUND STORAGE TANK,2038755,See Environmental Permit Dataset,COMMUNITY OF SAINT SABINA,0001,,,HEATING OI,500,,,," ",DEPT. OF PUBLIC HEALTH,41.750606519706494,-87.65379975030832,POINT (-87.65379975030832 41.750606519706494),4.572488908422564,"Racine & 79th Street, Chicago, IL 60620, United States of America",41.75063,-87.653845,Racine & 79th Street,,,60620,Chicago,Auburn Gresham,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2247 W GARFIELD BLVD,2247,2251,W,GARFIELD,BLVD,UNDERGROUND STORAGE TANK,2247GAR1990-05-02,,ALAN GORDON,,,,,,05/02/1990,,,WORK BY: HERITAGE RENOVATION; REMOVE 2-1K & 1-500 GAL TKS             FINAL  5/3/90,HISTORIC DEPT. OF BUILDINGS,41.79336506386406,-87.68107317843247,POINT (-87.68107317843247 41.79336506386406),10.684930898564884,"5509 South Oakley Avenue, Chicago, IL 60636, United States of America",41.793185699999995,-87.68101682944445,,5509,South Oakley Avenue,60636,Chicago,Gage Park,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10258 S WESTERN AVE,10258,10258,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,2009033,See Environmental Permit Dataset,MOBIL OIL SERVICE STATION 05BDX,0007,FRP,,GASOLINE,12000,,,02/07/2004,"10258 S WESTERN, REMOVED 02/09/2005,  Historic data from former Dept. of Environment [ Tank Leak Protection: Automatic Tank Gauging; Tank Spill Prevention: Spill Containment in place; Tank Corrosion Protection: FRP; Tank Overfill Protection: Automatic Shut-off; Piping Type: Pressurized Piping; Piping Leak Protection: Auto Line Leak Detector; Piping Corrosion Protection: FRP; Pipe Material: FRP; Stage 2: Y; Red Tag: N; Associated Permit Numbers: 108084     108084; ]",DEPT. OF PUBLIC HEALTH,41.70646455746924,-87.68177000419374,POINT (-87.68177000419374 41.70646455746924),28.805660842779172,"2415 West 103rd Street, Chicago, IL 60643, United States of America",41.7063,-87.682038,,2415,West 103rd Street,60643,Chicago,West Beverly,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
